#t;y
2017-09-02_00:00:01	97.8
2017-09-02_00:00:13	97.9
2017-09-02_00:05:01	97.9
2017-09-02_00:10:01	97.9
2017-09-02_00:15:01	97.8
2017-09-02_00:20:01	97.6
2017-09-02_00:25:01	97
2017-09-02_00:30:01	96.4
2017-09-02_00:35:01	98.9
2017-09-02_00:40:01	101.9
2017-09-02_00:45:01	100.7
2017-09-02_00:50:01	101.7
2017-09-02_00:55:02	102.7
2017-09-02_01:00:01	102.6
2017-09-02_01:05:01	101.6
2017-09-02_01:10:01	100.4
2017-09-02_01:15:01	99.6
2017-09-02_01:20:01	98.7
2017-09-02_01:25:01	98
2017-09-02_01:30:01	97.9
2017-09-02_01:35:01	98.1
2017-09-02_01:40:01	97.8
2017-09-02_01:45:01	98.1
2017-09-02_01:50:01	98
2017-09-02_01:55:01	98.1
2017-09-02_02:00:01	97.9
2017-09-02_02:05:01	97.6
2017-09-02_02:10:01	97.9
2017-09-02_02:15:01	97.8
2017-09-02_02:20:02	97.8
2017-09-02_02:25:01	97.9
2017-09-02_02:30:01	97.9
2017-09-02_02:35:01	97.8
2017-09-02_02:40:01	97.6
2017-09-02_02:45:01	97.4
2017-09-02_02:50:02	97.3
2017-09-02_02:55:01	97.5
2017-09-02_03:00:01	97.6
2017-09-02_03:05:01	96.7
2017-09-02_03:10:01	96.6
2017-09-02_03:15:01	97.4
2017-09-02_03:20:01	98.2
2017-09-02_03:25:01	97.4
2017-09-02_03:30:01	97.5
2017-09-02_03:35:01	97
2017-09-02_03:40:01	97
2017-09-02_03:45:01	97.1
2017-09-02_03:50:01	97.3
2017-09-02_03:55:01	97.4
2017-09-02_04:00:01	97.6
2017-09-02_04:05:01	97.7
2017-09-02_04:10:01	97.7
2017-09-02_04:15:01	97.8
2017-09-02_04:20:01	97.3
2017-09-02_04:25:01	97.2
2017-09-02_04:30:01	96.9
2017-09-02_04:35:01	97
2017-09-02_04:40:01	100
2017-09-02_04:45:02	101.8
2017-09-02_04:50:01	102.7
2017-09-02_04:55:01	103.1
2017-09-02_05:00:01	103.2
2017-09-02_05:05:01	103.4
2017-09-02_05:10:01	103.5
2017-09-02_05:15:01	104.3
2017-09-02_05:20:01	104.2
2017-09-02_05:25:01	104.1
2017-09-02_05:30:01	103.5
2017-09-02_05:35:01	104.5
2017-09-02_05:40:02	105.3
2017-09-02_05:45:01	105.3
