#t;y
2017-09-02_00:00:01	15.9
2017-09-02_00:05:01	15.7
2017-09-02_00:10:01	15.7
2017-09-02_00:15:01	15.7
2017-09-02_00:20:01	15.8
2017-09-02_00:25:01	16.2
2017-09-02_00:30:01	17.5
2017-09-02_00:35:01	19.2
2017-09-02_00:40:01	19.6
2017-09-02_00:45:01	18.9
2017-09-02_00:50:01	19.8
2017-09-02_00:55:02	19.9
2017-09-02_01:00:01	20.2
2017-09-02_01:05:01	19.6
2017-09-02_01:10:01	19.2
2017-09-02_01:15:01	18.6
2017-09-02_01:20:01	18.2
2017-09-02_01:25:01	17.5
2017-09-02_01:30:01	17.2
2017-09-02_01:35:01	16.8
2017-09-02_01:40:01	16.4
2017-09-02_01:45:01	15.8
2017-09-02_01:50:01	15.5
2017-09-02_01:55:01	15.4
2017-09-02_02:00:01	15.3
2017-09-02_02:05:01	15.1
2017-09-02_02:10:01	15.2
2017-09-02_02:15:01	15.1
2017-09-02_02:20:02	15.1
2017-09-02_02:25:01	15.1
2017-09-02_02:30:01	15
2017-09-02_02:35:01	14.9
2017-09-02_02:40:01	15.1
2017-09-02_02:45:01	15.1
2017-09-02_02:50:02	15.2
2017-09-02_02:55:01	15.3
2017-09-02_03:00:01	15.5
2017-09-02_03:05:01	15.9
2017-09-02_03:10:01	17.4
2017-09-02_03:15:01	17.9
2017-09-02_03:20:01	17.9
2017-09-02_03:25:01	17.4
2017-09-02_03:30:01	16.7
2017-09-02_03:35:01	16.8
2017-09-02_03:40:01	16.6
2017-09-02_03:45:01	16.8
2017-09-02_03:50:01	16.6
2017-09-02_03:55:01	16.5
2017-09-02_04:00:01	16.4
2017-09-02_04:05:01	16.6
2017-09-02_04:10:01	16.3
2017-09-02_04:15:01	16.2
2017-09-02_04:20:01	16.2
2017-09-02_04:25:01	16.7
2017-09-02_04:30:01	17.1
2017-09-02_04:35:01	18
2017-09-02_04:40:01	19.1
2017-09-02_04:45:02	19.7
2017-09-02_04:50:01	20.3
2017-09-02_04:55:01	20.4
2017-09-02_05:00:01	20.6
2017-09-02_05:05:01	20.7
2017-09-02_05:10:01	20.8
2017-09-02_05:15:01	21.3
2017-09-02_05:20:01	21.5
2017-09-02_05:25:01	21.6
2017-09-02_05:30:01	21.2
2017-09-02_05:35:01	21.7
2017-09-02_05:40:02	22.4
2017-09-02_05:45:01	22.6
2017-09-02_05:50:01	21.9
2017-09-02_05:55:01	21.7
2017-09-02_06:00:01	22.1
2017-09-02_06:05:01	22.1
2017-09-02_06:10:01	22.3
2017-09-02_06:15:01	22
2017-09-02_06:20:01	22
