#t;y
2017-09-02_00:00:01	480
2017-09-02_00:00:13	481
2017-09-02_00:05:01	480
2017-09-02_00:10:01	479
2017-09-02_00:15:01	480
2017-09-02_00:20:01	480
2017-09-02_00:25:01	482
2017-09-02_00:30:01	488
2017-09-02_00:35:01	498
2017-09-02_00:40:01	499
2017-09-02_00:45:01	498
2017-09-02_00:50:01	502
2017-09-02_00:55:02	502
2017-09-02_01:00:01	503
2017-09-02_01:05:01	502
2017-09-02_01:10:01	498
2017-09-02_01:15:01	496
2017-09-02_01:20:01	493
2017-09-02_01:25:01	491
2017-09-02_01:30:01	489
2017-09-02_01:35:01	488
2017-09-02_01:40:01	486
2017-09-02_01:45:01	484
2017-09-02_01:50:01	481
2017-09-02_01:55:01	480
2017-09-02_02:00:01	479
2017-09-02_02:05:01	479
2017-09-02_02:10:01	477
2017-09-02_02:15:01	477
2017-09-02_02:20:02	477
2017-09-02_02:25:01	478
2017-09-02_02:30:01	477
2017-09-02_02:35:01	479
2017-09-02_02:40:01	478
2017-09-02_02:45:01	478
2017-09-02_02:50:02	478
2017-09-02_02:55:01	479
2017-09-02_03:00:01	479
2017-09-02_03:05:01	481
2017-09-02_03:10:01	489
2017-09-02_03:15:01	493
2017-09-02_03:20:01	493
2017-09-02_03:25:01	490
2017-09-02_03:30:01	487
2017-09-02_03:35:01	487
2017-09-02_03:40:01	487
2017-09-02_03:45:01	487
2017-09-02_03:50:01	487
2017-09-02_03:55:01	487
2017-09-02_04:00:01	484
2017-09-02_04:05:01	486
2017-09-02_04:10:01	485
2017-09-02_04:15:01	485
2017-09-02_04:20:01	485
2017-09-02_04:25:01	486
2017-09-02_04:30:01	488
2017-09-02_04:35:01	491
2017-09-02_04:40:01	499
2017-09-02_04:45:02	499
2017-09-02_04:50:01	501
2017-09-02_04:55:01	502
2017-09-02_05:00:01	502
2017-09-02_05:05:01	503
2017-09-02_05:10:01	503
2017-09-02_05:15:01	504
2017-09-02_05:20:01	505
2017-09-02_05:25:01	504
2017-09-02_05:30:01	504
2017-09-02_05:35:01	505
2017-09-02_05:40:02	505
2017-09-02_05:45:01	506
2017-09-02_05:50:01	506
2017-09-02_05:55:01	506
2017-09-02_06:00:01	506
2017-09-02_06:05:01	504
2017-09-02_06:10:01	505
2017-09-02_06:15:01	505
2017-09-02_06:20:01	506
2017-09-02_06:25:01	506
2017-09-02_06:30:01	505
2017-09-02_06:35:01	503
2017-09-02_06:40:01	504
2017-09-02_06:45:01	505
2017-09-02_06:50:01	505
2017-09-02_06:55:01	506
2017-09-02_07:00:01	507
2017-09-02_07:05:01	508
2017-09-02_07:10:01	508
2017-09-02_07:15:01	509
2017-09-02_07:20:01	508
2017-09-02_07:25:01	509
2017-09-02_07:30:01	509
2017-09-02_07:35:01	509
2017-09-02_07:40:01	510
2017-09-02_07:45:01	510
2017-09-02_07:50:01	510
2017-09-02_07:55:01	510
2017-09-02_08:00:01	511
2017-09-02_08:05:02	510
2017-09-02_08:10:01	511
2017-09-02_08:15:01	510
2017-09-02_08:20:01	509
2017-09-02_08:25:01	511
2017-09-02_08:30:01	511
2017-09-02_08:35:02	511
2017-09-02_08:40:01	510
2017-09-02_08:45:01	510
2017-09-02_08:50:01	507
2017-09-02_08:55:01	507
2017-09-02_09:00:02	507
2017-09-02_09:05:02	507
2017-09-02_09:10:01	507
2017-09-02_09:15:01	506
2017-09-02_09:20:01	506
2017-09-02_09:25:01	507
2017-09-02_09:30:02	507
2017-09-02_09:35:01	506
2017-09-02_09:40:01	507
2017-09-02_09:45:01	507
2017-09-02_09:50:01	507
2017-09-02_09:55:01	508
2017-09-02_10:00:02	506
2017-09-02_10:05:01	507
2017-09-02_10:10:01	506
2017-09-02_10:15:01	506
2017-09-02_10:20:01	506
2017-09-02_10:25:01	507
2017-09-02_10:30:02	507
2017-09-02_10:35:01	505
2017-09-02_10:40:01	506
2017-09-02_10:45:01	506
2017-09-02_10:50:01	505
2017-09-02_10:55:02	505
2017-09-02_11:00:02	505
2017-09-02_11:05:01	506
2017-09-02_11:10:01	504
2017-09-02_11:15:01	503
2017-09-02_11:20:01	503
2017-09-02_11:25:02	503
2017-09-02_11:30:01	502
2017-09-02_11:35:01	503
2017-09-02_11:40:01	501
2017-09-02_11:45:01	500
2017-09-02_11:50:01	502
2017-09-02_11:55:02	502
2017-09-02_12:00:01	503
2017-09-02_12:05:01	504
2017-09-02_12:10:01	502
2017-09-02_12:15:01	501
2017-09-02_12:20:01	501
2017-09-02_12:25:02	502
2017-09-02_12:30:01	501
2017-09-02_12:35:01	501
2017-09-02_12:40:01	501
2017-09-02_12:45:01	501
2017-09-02_12:50:01	499
2017-09-02_12:55:02	497
2017-09-02_13:00:01	494
2017-09-02_13:05:01	493
2017-09-02_13:10:01	497
2017-09-02_13:15:01	500
2017-09-02_13:20:02	499
2017-09-02_13:25:02	497
2017-09-02_13:30:01	493
2017-09-02_13:35:01	491
2017-09-02_13:40:01	489
2017-09-02_13:45:01	488
2017-09-02_13:50:02	489
2017-09-02_13:55:01	491
2017-09-02_14:00:01	494
2017-09-02_14:05:01	494
2017-09-02_14:10:01	495
2017-09-02_14:15:02	499
2017-09-02_14:20:02	500
2017-09-02_14:25:01	501
2017-09-02_14:30:01	499
2017-09-02_14:35:01	498
2017-09-02_14:40:01	493
2017-09-02_14:45:01	493
